,für,über,können,jahr,zwei,zeit,jahre,gibt,ersten,jahren,menschen,während,heute,später,chr,erste,z.,hitler,alexander,drei,v.,jahrhundert,form,ohne,b.,deutschen,teil,beispiel,stadt,deutschland,bezeichnet,sei,ende,de,aristoteles,//de.wikipedia.org/wiki,meist,bekannt,konnte,verwendet,insbesondere,worden,aufgrund,zunächst,’,gilt,beispielsweise,große,wegen,of,hitchcock,großen,neuen,liegt,stark,welt,siehe,film,neue,arbeit,zurück,ließ,rolle,the,aldi,staaten,jahrhunderts,besteht,wobei,deutsche,aluminium,meisten,merkel,prozent,bedeutung,sprache,tod,a,crowley,genannt,september,gegenüber,oktober,sprachen,art,leben,steht,namen,millionen,bevölkerung,vier,häufig,april,lassen,märz,rund,august,1,verschiedenen,januar
wobei,5.0,1.0,1.0,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deutsche,17.0,2.0,,,,1.0,1.0,,,2.0,,1.0,,,,3.0,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium,12.0,2.0,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,4.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meisten,9.0,1.0,,,,1.0,,1.0,,,,2.0,4.0,,,,,,,,,2.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merkel,16.0,3.0,,1.0,,,,,2.0,1.0,,1.0,,,,3.0,,,,3.0,,,,,,,,,,1.0,,1.0,2.0,1.0,,,,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prozent,3.0,7.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bedeutung,11.0,,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,2.0,,,,1.0,,1.0,,,,,2.0,2.0,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprache,5.0,3.0,,,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,5.0,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tod,3.0,2.0,,6.0,,1.0,4.0,,1.0,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,1.0,1.0,4.0,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,7.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,3.0,3.0,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crowley,4.0,3.0,,,1.0,2.0,,,,2.0,,1.0,,,,,,,2.0,,,,1.0,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genannt,3.0,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
september,1.0,,,,,,,,,,,,,,,,,5.0,,,3.0,,,,,,,,,1.0,,,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gegenüber,1.0,1.0,,,,1.0,,,,,2.0,,,,,,,2.0,1.0,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,2.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oktober,4.0,,,1.0,1.0,,,,,,,,,,,,,5.0,,1.0,3.0,,,,,1.0,1.0,,1.0,,,1.0,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprachen,4.0,1.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art,2.0,3.0,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,1.0,,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leben,9.0,5.0,1.0,1.0,,,,,,,3.0,,,,,,,,2.0,2.0,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steht,35.0,1.0,,,1.0,,1.0,,1.0,,,,2.0,,,2.0,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
namen,3.0,,1.0,,,1.0,,,1.0,,,,3.0,2.0,,,,,2.0,,1.0,,,,,,,,1.0,1.0,,,,,,,3.0,2.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millionen,5.0,7.0,,2.0,6.0,,5.0,,,6.0,8.0,1.0,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bevölkerung,1.0,3.0,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vier,4.0,7.0,,,3.0,,7.0,3.0,2.0,6.0,2.0,1.0,,5.0,,1.0,,,,4.0,,,,1.0,,,,,,,,,,,4.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
häufig,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
april,1.0,1.0,,,,,,,,,,,,,,,,5.0,1.0,,1.0,,,,,,,,,,,,3.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lassen,,1.0,3.0,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
märz,3.0,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rund,2.0,2.0,,3.0,2.0,1.0,4.0,1.0,2.0,2.0,,1.0,2.0,,,,,,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
august,3.0,1.0,,1.0,,,,,,,,1.0,,,,,,4.0,,,4.0,,,1.0,,,,,1.0,,,1.0,4.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,3.0,2.0,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verschiedenen,2.0,,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,3.0,,,,,,2.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
januar,1.0,1.0,,,,,,,1.0,,,,,,,,,5.0,1.0,,8.0,,,,,2.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
