,für,über,können,jahr,zwei,zeit,jahre,gibt,ersten,jahren,menschen,während,heute,später,chr,erste,z.,hitler,alexander,drei,v.,jahrhundert,form,ohne,b.,deutschen,teil,beispiel,stadt,deutschland,bezeichnet,sei,ende,de,aristoteles,//de.wikipedia.org/wiki,meist,bekannt,konnte,verwendet,insbesondere,worden,aufgrund,zunächst,’,gilt,beispielsweise,große,wegen,of,hitchcock,großen,neuen,liegt,stark,welt,siehe,film,neue,arbeit,zurück,ließ,rolle,the,aldi,staaten,jahrhunderts,besteht,wobei,deutsche,aluminium,meisten,merkel,prozent,bedeutung,sprache,tod,a,crowley,genannt,september,gegenüber,oktober,sprachen,art,leben,steht,namen,millionen,bevölkerung,vier,häufig,april,lassen,märz,rund,august,1,verschiedenen,januar
z.,6.0,1.0,,,,,,,,,,,1.0,,,1.0,217.0,,,,,,1.0,,186.0,,,,,2.0,,1.0,,,,,,,,1.0,,2.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hitler,9.0,4.0,1.0,1.0,,,1.0,,1.0,,,2.0,,3.0,,,,343.0,,,,,,3.0,,1.0,,,1.0,3.0,,5.0,3.0,,,,1.0,,1.0,,,,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexander,11.0,6.0,,,2.0,,1.0,1.0,,1.0,,5.0,,2.0,,1.0,,,329.0,,1.0,,,1.0,1.0,,1.0,,10.0,,1.0,2.0,,,3.0,,1.0,2.0,3.0,,,1.0,1.0,1.0,1.0,,2.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drei,9.0,5.0,1.0,1.0,7.0,1.0,10.0,,8.0,5.0,,2.0,,7.0,,,,,,250.0,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v.,,1.0,,31.0,,1.0,9.0,,3.0,,2.0,,,,266.0,,,,1.0,,287.0,33.0,,,1.0,,,,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jahrhundert,,,,1.0,,,,,4.0,,,,,1.0,43.0,1.0,,,,,33.0,251.0,,,,,3.0,,1.0,,,,,,2.0,,1.0,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form,4.0,2.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,231.0,3.0,,,1.0,1.0,,,,,,,6.0,,2.0,,,2.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ohne,6.0,2.0,3.0,,,,,,1.0,,1.0,,,1.0,,,,3.0,1.0,1.0,,,3.0,250.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.,5.0,1.0,,,,,,,,,,,,,,1.0,186.0,,1.0,,1.0,,,,198.0,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deutschen,10.0,4.0,1.0,,2.0,1.0,3.0,,3.0,,,,1.0,,,1.0,,1.0,,1.0,,,,,,245.0,2.0,2.0,2.0,,,1.0,,,,,1.0,1.0,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teil,2.0,4.0,,,,1.0,,,3.0,,,2.0,2.0,,,1.0,,,1.0,1.0,,3.0,1.0,1.0,,2.0,207.0,,1.0,1.0,,2.0,,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beispiel,15.0,2.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,2.0,,192.0,,,1.0,2.0,1.0,,2.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stadt,4.0,6.0,,,5.0,5.0,,1.0,2.0,,,1.0,5.0,1.0,,2.0,,1.0,10.0,1.0,1.0,1.0,,,,2.0,1.0,,282.0,,,,2.0,,,,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deutschland,9.0,2.0,,3.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,3.0,,,,,,1.0,1.0,,1.0,,,227.0,,1.0,,,,,,,1.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bezeichnet,2.0,1.0,,,,,,,2.0,,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,193.0,,,,,,3.0,,1.0,,1.0,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sei,8.0,,,,,,,,,,1.0,1.0,,2.0,,,1.0,5.0,2.0,1.0,,,,1.0,,1.0,2.0,2.0,,1.0,,232.0,,,,,1.0,,,1.0,,9.0,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ende,6.0,,1.0,1.0,1.0,,24.0,1.0,1.0,,1.0,1.0,,,,1.0,,3.0,,,1.0,,,1.0,,,,1.0,2.0,,,,214.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,197.0,,,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
